Id,Probability
1,0.0296729027
2,0.0323430308
3,0.0272380226
4,0.1405054699
5,0.0380422615
6,0.0217756599
7,0.01843298
8,0.0675819096
9,0.019058142
10,0.4555510803
11,0.0371759514
12,0.0292440548
13,0.0176539085
14,0.0408117886
15,0.0283056269
16,0.0387138537
17,0.0208988209
18,0.0328249364
19,0.2320850901
20,0.0298396596
21,0.029750198
22,0.0238226249
23,0.0205101449
24,0.4240006247
25,0.1201974212
26,0.0279883604
27,0.0240762812
28,0.0200237907
29,0.0405686978
30,0.0342789927
31,0.0296633086
32,0.016513044
33,0.0160866703
34,0.0240461531
35,0.2817649968
36,0.0308960585
37,0.0417443031
38,0.0273376648
39,0.0367900449
40,0.122768593
41,0.1037754573
42,0.144436436
43,0.031947155
44,0.0245725784
45,0.0916991331
46,0.0126775838
47,0.0115264962
48,0.0307270155
49,0.0322298988
50,0.0299918964
51,0.0261468776
52,0.0133606283
53,0.0328053674
54,0.0298896854
55,0.0375553454
56,0.1179683071
57,0.0180254159
58,0.1294600943
59,0.0882247868
60,0.1506292518
61,0.0169323708
62,0.0300141567
63,0.0262883549
64,0.0224959147
65,0.0319274527
66,0.0209526498
67,0.0333606644
68,0.0544356216
69,0.0233240402
70,0.6300544992
71,0.0255471374
72,0.1055652732
73,0.0186032219
74,0.1317785535
75,0.03279329
76,0.0226993792
77,0.0340547236
78,0.0386270282
79,0.0165323783
80,0.0434425169
81,0.0247033334
82,0.0281026522
83,0.0285103982
84,0.0151386443
85,0.0356165142
86,0.0204990584
87,0.0418404661
88,0.0197092239
89,0.0406705409
90,0.0416050089
91,0.0348526063
92,0.0310536184
93,0.0321384447
94,0.0260959988
95,0.0233513068
96,0.4005457685
97,0.0285307742
98,0.0376906244
99,0.0232976982
100,0.0386157749
101,0.0276144334
102,0.0377877189
103,0.0212585709
104,0.0360488376
105,0.14340149
106,0.0372957285
107,0.3508530988
108,0.0178625957
109,0.0243089784
110,0.0315814871
111,0.0263087575
112,0.0411781557
113,0.0384023251
114,0.3598521783
115,0.0338808763
116,0.0235307775
117,0.0203894909
118,0.036694066
119,0.0226360703
120,0.0232239668
121,0.0253683033
122,0.1162955565
123,0.0308551217
124,0.5638090569
125,0.0302433778
126,0.0289696748
127,0.0106566083
128,0.0298192887
129,0.0223726059
130,0.0422096982
131,0.0876770883
132,0.0374010707
133,0.021851143
134,0.0825410706
135,0.1797300581
136,0.0170461109
137,0.1235175637
138,0.0816699634
139,0.0218392325
140,0.0270460334
141,0.0146825414
142,0.0165823749
143,0.0147583285
144,0.0223925672
145,0.2843537412
146,0.0363318233
147,0.0161138753
148,0.0782590633
149,0.0188034162
150,0.0305286965
151,0.0180758375
152,0.0227413471
153,0.0172366118
154,0.0234177999
155,0.0305669489
156,0.0254333992
157,0.1245894335
158,0.0206909845
159,0.0866474144
160,0.0230252448
161,0.0210951194
162,0.0295515245
163,0.0292885126
164,0.0305373713
165,0.0225528892
166,0.0250761077
167,0.5140597648
168,0.0382468252
169,0.0954849048
170,0.0166316686
171,0.0138514958
172,0.0150788224
173,0.0358879475
174,0.0403950337
175,0.0331898902
176,0.2540899994
177,0.0285931963
178,0.0266652269
179,0.0186834918
180,0.023912957
181,0.1537907719
182,0.0297641642
183,0.028545693
184,0.0228390629
185,0.0315690009
186,0.0183006858
187,0.0247146171
188,0.0277584259
189,0.0268197487
190,0.0337345821
191,0.0164828903
192,0.0307725898
193,0.0300888587
194,0.0210644466
195,0.0172208165
196,0.0338336769
197,0.0169331944
198,0.0234558492
199,0.0247787983
200,0.0159966783
201,0.0400711977
202,0.0170240161
203,0.1181554164
204,0.0195669091
205,0.0236216779
206,0.0191077452
207,0.0371829371
208,0.021616567
209,0.0368486089
210,0.0121451514
211,0.0339510922
212,0.0385809276
213,0.0227106757
214,0.0251722499
215,0.0358325956
216,0.0366947698
217,0.0245044654
218,0.1231382626
219,0.0282873769
220,0.0156155966
221,0.0378742326
222,0.0247465584
223,0.0239099201
224,0.0259513221
225,0.0268392919
226,0.038285284
227,0.0297254121
228,0.0220928698
229,0.032447233
230,0.2908668803
231,0.1521849033
232,0.0239822466
233,0.0226872706
234,0.0214451323
235,0.017879273
236,0.28936242
237,0.0306634642
238,0.0123482495
239,0.0200037715
240,0.0315175
241,0.0279468177
242,0.0207878527
243,0.0233899738
244,0.0260342321
245,0.0373536444
246,0.0193436629
247,0.0375422475
248,0.0190682988
249,0.0228909749
250,0.2760279996
251,0.0143119203
252,0.2082473403
253,0.0235381546
254,0.0406795526
255,0.0100304196
256,0.018183637
257,0.0336583871
258,0.0854314688
259,0.1106204142
260,0.0428563447
